VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:27,2016-03-01 00:08:03,1,-73.94833374023438,40.778316497802734,1,N,-73.92554473876953,40.80564880371094,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
2,2016-03-01 00:00:27,2016-03-01 00:05:10,1,-73.99053192138672,40.734989166259766,1,N,-74.00089263916014,40.71855163574219,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
2,2016-03-01 00:00:27,2016-03-01 00:08:36,2,-73.98603820800781,40.723098754882805,1,N,-74.00237274169923,40.73345184326172,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-03-01 00:00:28,2016-03-01 00:09:08,1,-73.9805908203125,40.676284790039055,1,N,-73.95732879638672,40.674293518066406,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6
1,2016-03-01 00:00:29,2016-03-01 00:08:12,1,-74.01022338867188,40.721050262451165,1,N,-74.00580596923827,40.70624542236328,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95
2,2016-03-01 00:00:29,2016-03-01 00:05:52,3,-73.9827423095703,40.722930908203125,1,N,-73.98471069335938,40.73477935791016,1,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-03-01 00:00:29,2016-03-01 00:04:53,5,-73.9911117553711,40.72338104248047,1,N,-73.98262023925781,40.731239318847656,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2,2016-03-01 00:00:29,2016-03-01 00:15:43,1,-73.91590118408203,40.76673889160156,1,N,-73.95974731445312,40.77202987670898,1,21.5,0.5,0.5,2.0,5.54,0.3,30.34
2,2016-03-01 00:00:29,2016-03-01 00:16:52,2,-74.00581359863281,40.717899322509766,1,N,-73.95327758789062,40.77154922485352,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
2,2016-03-01 00:00:29,2016-03-01 00:06:23,1,-73.98741912841797,40.76068878173828,1,N,-73.99150848388672,40.750091552734375,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2016-03-01 00:00:30,2016-03-01 00:04:32,1,-73.98301696777342,40.74217987060546,1,N,-73.98646545410156,40.72703170776367,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8
2,2016-03-01 00:00:30,2016-03-01 00:08:33,2,-73.96698760986328,40.76136016845703,1,N,-73.93946838378906,40.79051208496094,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56
2,2016-03-01 00:00:30,2016-03-01 00:12:18,3,-73.98740386962889,40.721866607666016,1,N,-73.9915313720703,40.745853424072266,1,10.5,0.5,0.5,1.0,0.0,0.3,12.8
2,2016-03-01 00:00:30,2016-03-01 00:10:57,1,-73.9783935546875,40.75227355957031,1,N,-73.97775268554686,40.778823852539055,1,10.5,0.5,0.5,2.0,0.0,0.3,13.8
1,2016-03-01 00:00:31,2016-03-01 00:06:19,1,-73.97275543212889,40.7559051513672,1,N,-73.98736572265625,40.7563591003418,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-03-01 00:00:31,2016-03-01 00:09:06,1,-74.65130615234375,40.60926055908203,1,N,-74.65130615234375,40.60926055908203,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8
2,2016-03-01 00:00:31,2016-03-01 00:08:31,2,-73.98663330078125,40.741226196289055,1,N,-73.99603271484375,40.71889114379882,1,8.5,0.5,0.5,2.94,0.0,0.3,12.74
2,2016-03-01 00:00:31,2016-03-01 00:13:00,1,-73.98587799072266,40.74684143066406,1,N,-74.00724792480467,40.70756149291992,1,12.0,0.5,0.5,2.0,0.0,0.3,15.3
2,2016-03-01 00:00:31,2016-03-01 00:10:27,1,-73.97080993652342,40.751819610595696,1,N,-74.00531768798828,40.708961486816406,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8
2,2016-03-01 00:00:32,2016-03-01 00:08:59,1,-73.97491455078125,40.76174545288086,1,N,-73.9890899658203,40.732303619384766,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8
1,2016-03-01 00:00:34,2016-03-01 00:12:54,1,-73.97598266601561,40.760536193847656,1,N,-73.98314666748048,40.728172302246094,1,11.5,0.5,0.5,2.0,0.0,0.3,14.8
1,2016-03-01 00:00:35,2016-03-01 00:05:55,1,-73.97419738769531,40.7509880065918,1,N,-73.98958587646483,40.75673675537109,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2016-03-01 00:00:35,2016-03-01 00:13:25,1,-73.95240783691406,40.81066131591797,1,N,-73.9773712158203,40.78435897827149,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96
2,2016-03-01 00:00:35,2016-03-01 00:15:03,1,-73.95482635498048,40.78363037109375,1,N,-73.99717712402342,40.73490524291992,1,15.0,0.5,0.5,3.26,0.0,0.3,19.56
2,2016-03-01 00:00:35,2016-03-01 00:14:40,1,-73.9764175415039,40.78583908081056,1,N,-73.94049835205078,40.842960357666016,1,17.0,0.5,0.5,3.1,0.0,0.3,21.4
2,2016-03-01 00:00:36,2016-03-01 00:03:54,1,-73.95626068115233,40.80332946777344,1,N,-73.96305847167967,40.80189895629882,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-03-01 00:00:37,2016-03-01 00:06:40,1,-73.9886016845703,40.75708770751953,1,N,-73.98882293701173,40.7689323425293,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
1,2016-03-01 00:00:38,2016-03-01 00:24:06,1,-73.97509002685547,40.75059509277344,1,N,-73.96178436279298,40.654178619384766,1,29.0,0.5,0.5,6.05,0.0,0.3,36.35
2,2016-03-01 00:00:38,2016-03-01 00:04:00,3,-73.9459457397461,40.79274368286133,1,N,-73.94728851318358,40.79091644287109,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-03-01 00:00:39,2016-03-01 00:06:48,1,-73.98848724365233,40.737354278564446,1,N,-73.9969482421875,40.71928024291992,3,7.0,0.5,0.5,0.0,0.0,0.3,8.3
1,2016-03-01 00:00:40,2016-03-01 00:11:23,1,-73.9739990234375,40.74312210083008,1,N,-73.96765899658203,40.770332336425774,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
1,2016-03-01 00:00:40,2016-03-01 00:07:13,1,-73.98757934570312,40.70003509521485,1,N,-73.97296905517578,40.69405746459961,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3
1,2016-03-01 00:00:40,2016-03-01 00:12:30,1,-73.9962158203125,40.75999069213867,1,N,-73.95303344726561,40.80948257446289,1,17.5,0.5,0.5,3.76,0.0,0.3,22.56
2,2016-03-01 00:00:40,2016-03-01 00:08:47,1,-73.99883270263672,40.72496795654297,1,N,-74.00899505615233,40.73814392089844,1,7.5,0.5,0.5,2.64,0.0,0.3,11.44
2,2016-03-01 00:00:41,2016-03-01 00:11:38,1,-73.97748565673827,40.7530403137207,1,N,-74.0025863647461,40.719970703125,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36
2,2016-03-01 00:00:41,2016-03-01 00:03:24,2,-74.01016998291014,40.71933364868164,1,N,-74.01359558105469,40.71672058105469,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,2016-03-01 00:00:41,2016-03-01 00:11:39,1,0.0,0.0,1,N,0.0,0.0,1,12.0,0.5,0.5,3.32,0.0,0.3,16.62
1,2016-03-01 00:00:42,2016-03-01 00:12:52,1,-73.98661041259764,40.76193618774414,1,N,-73.94239044189453,40.74867248535156,1,12.5,0.5,0.5,4.1,0.0,0.3,17.9
1,2016-03-01 00:00:42,2016-03-01 00:03:31,1,-73.97314453125,40.76403045654297,1,N,-73.98130798339844,40.75306701660156,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8
2,2016-03-01 00:00:42,2016-03-01 00:07:32,1,-73.9939956665039,40.72010803222656,1,N,-73.98394775390625,40.73762512207031,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
1,2016-03-01 00:00:43,2016-03-01 00:07:09,1,-73.98197937011719,40.763042449951165,1,N,-73.96868896484375,40.75478363037109,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-03-01 00:00:43,2016-03-01 00:16:22,1,-74.00792694091797,40.748172760009766,1,N,-73.96783447265625,40.79297637939453,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
2,2016-03-01 00:00:43,2016-03-01 00:08:38,1,-73.97218322753906,40.79489135742188,1,N,-73.93936920166014,40.848270416259766,1,14.0,0.5,0.5,2.0,0.0,0.3,17.3
2,2016-03-01 00:00:43,2016-03-01 00:08:36,1,-73.97393798828125,40.7535514831543,1,N,-73.98504638671875,40.76599884033203,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,2016-03-01 00:00:44,2016-03-01 00:08:51,2,-73.97753143310547,40.75334167480469,1,N,-74.00135040283203,40.731292724609375,1,9.0,0.5,0.5,3.05,0.0,0.3,13.35
1,2016-03-01 00:00:44,2016-03-01 00:05:08,1,-73.97672271728516,40.68385696411133,1,N,-73.978515625,40.68935775756836,1,5.0,0.5,0.5,4.0,0.0,0.3,10.3
2,2016-03-01 00:00:44,2016-03-01 00:21:27,1,-73.9749984741211,40.757671356201165,1,N,-73.89971923828125,40.72565841674805,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3
2,2016-03-01 00:00:44,2016-03-01 00:05:50,6,-73.97740936279298,40.75219345092773,1,N,-73.996337890625,40.74768829345703,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75
1,2016-03-01 00:00:45,2016-03-01 00:15:37,1,-74.00601196289062,40.74011993408203,1,N,-73.97261047363281,40.75631713867188,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56
2,2016-03-01 00:00:45,2016-03-01 00:39:48,3,-73.79316711425781,40.656829833984375,5,N,-73.79316711425781,40.656829833984375,2,58.34,0.0,0.5,0.0,0.0,0.3,59.14
2,2016-03-01 00:00:45,2016-03-01 00:07:41,6,-73.9786376953125,40.76277923583984,1,N,-73.97730255126953,40.78361892700195,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16
1,2016-03-01 00:00:46,2016-03-01 00:40:15,1,-73.78993225097656,40.64365005493164,2,Y,-73.97976684570312,40.71455764770508,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
2,2016-03-01 00:00:46,2016-03-01 00:05:59,1,-73.97323608398438,40.759590148925774,1,N,-73.98795318603516,40.7650260925293,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
2,2016-03-01 00:00:46,2016-03-01 00:14:26,1,-73.95195007324217,40.779609680175774,1,N,-73.98918914794923,40.756309509277344,1,13.0,0.5,0.5,1.0,0.0,0.3,15.3
